year,subject,prior_band,n_students
2022,Government and Politics,8-<9,2416
2022,Government and Politics,9>=,315
2022,Government and Politics,Unknown prior,396
2022,Government and Politics,All,18599
2022,Psychology,<1,1
2022,Psychology,1-<2,2
2022,Psychology,2-<3,41
2022,Psychology,3-<4,615
2022,Psychology,4-<5,6322
2022,Psychology,5-<6,20180
2022,Psychology,6-<7,23956
2022,Psychology,7-<8,15355
2022,Psychology,8-<9,5995
2022,Psychology,9>=,293
2022,Psychology,Unknown prior,1074
2022,Psychology,All,73834
2022,Sociology,1-<2,4
2022,Sociology,2-<3,63
2022,Sociology,3-<4,1265
2022,Sociology,4-<5,8227
2022,Sociology,5-<6,14833
2022,Sociology,6-<7,11283
2022,Sociology,7-<8,4853
2022,Sociology,8-<9,1177
2022,Sociology,9>=,20
2022,Sociology,Unknown prior,398
2022,Sociology,All,42123
2022,English Language and Literature,2-<3,6
2022,English Language and Literature,3-<4,126
2022,English Language and Literature,4-<5,906
2022,English Language and Literature,5-<6,1945
2022,English Language and Literature,6-<7,1869
2022,English Language and Literature,7-<8,1206
2022,English Language and Literature,8-<9,447
2022,English Language and Literature,9>=,12
2022,English Language and Literature,Unknown prior,72
2022,English Language and Literature,All,6589
2022,English Language,1-<2,1
2022,English Language,2-<3,6
2022,English Language,3-<4,238
2022,English Language,4-<5,1795
2022,English Language,5-<6,4218
2022,English Language,6-<7,4137
2022,English Language,7-<8,2514
2022,English Language,8-<9,792
2022,English Language,9>=,41
2022,English Language,Unknown prior,134
2022,English Language,All,13876
2022,English Literature,1-<2,1
2022,English Literature,2-<3,8
2022,English Literature,3-<4,256
2022,English Literature,4-<5,2418
2022,English Literature,5-<6,6517
2022,English Literature,6-<7,8681
2022,English Literature,7-<8,7711
2022,English Literature,8-<9,5321
2022,English Literature,9>=,638
2022,English Literature,Unknown prior,507
2022,English Literature,All,32058
2022,Drama and Theatre Studies,2-<3,9
2022,Drama and Theatre Studies,3-<4,147
2022,Drama and Theatre Studies,4-<5,883
2022,Drama and Theatre Studies,5-<6,2062
2022,Drama and Theatre Studies,6-<7,2499
2022,Drama and Theatre Studies,7-<8,1953
2022,Drama and Theatre Studies,8-<9,1015
2022,Drama and Theatre Studies,9>=,116
2022,Drama and Theatre Studies,Unknown prior,168
2022,Drama and Theatre Studies,All,8852
2022,Media/Film/Tv Studies,1-<2,1
2022,Media/Film/Tv Studies,2-<3,50
2022,Media/Film/Tv Studies,3-<4,654
2022,Media/Film/Tv Studies,4-<5,3256
2022,Media/Film/Tv Studies,5-<6,4758
2022,Media/Film/Tv Studies,6-<7,3170
2022,Media/Film/Tv Studies,7-<8,1285
2022,Media/Film/Tv Studies,8-<9,270
2022,Media/Film/Tv Studies,9>=,4
2022,Media/Film/Tv Studies,Unknown prior,154
2022,Media/Film/Tv Studies,All,13602
2022,Film Studies,2-<3,19
2022,Film Studies,3-<4,307
2022,Film Studies,4-<5,1333
2022,Film Studies,5-<6,1865
2022,Film Studies,6-<7,1457
2022,Film Studies,7-<8,656
2022,Film Studies,8-<9,226
2022,Film Studies,9>=,3
2022,Film Studies,Unknown prior,89
2022,Film Studies,All,5955
2022,French,1-<2,1
2022,French,2-<3,1
2022,French,3-<4,23
2022,French,4-<5,213
2022,French,5-<6,692
2022,French,6-<7,1440
2022,French,7-<8,1998
2022,French,8-<9,2232
2022,French,9>=,317
2022,French,Unknown prior,234
2022,French,All,7151
2022,German,3-<4,4
2022,German,4-<5,56
2022,German,5-<6,197
2022,German,6-<7,436
2022,German,7-<8,675
2022,German,8-<9,936
2022,German,9>=,123
2022,German,Unknown prior,94
2022,German,All,2521
2022,Italian,2-<3,1
2022,Italian,3-<4,28
2022,Italian,4-<5,70
2022,Italian,5-<6,114
2022,Italian,6-<7,112
2022,Italian,7-<8,92
2022,Italian,8-<9,59
2022,Italian,9>=,9
2022,Italian,Unknown prior,43
2022,Italian,All,528
2022,Modern Greek,1-<2,1
2022,Modern Greek,2-<3,1
2022,Modern Greek,4-<5,7
2022,Modern Greek,5-<6,8
2022,Modern Greek,6-<7,5
2022,Modern Greek,7-<8,2
2022,Modern Greek,Unknown prior,1
2022,Modern Greek,All,25
2022,Portuguese,2-<3,3
2022,Portuguese,3-<4,5
2022,Portuguese,4-<5,32
