year,subject,subj_code,prior_band,Astar,A,B,C,D,E,U
2025,Art and Design (Critical Studies),3680,3-<4,,10.0,40.0,20.0,20.0,10.0,
2025,Art and Design (Critical Studies),3680,4-<5,12.5,4.17,45.83,12.5,16.67,8.33,
2025,Art and Design (Critical Studies),3680,5-<6,7.41,18.52,40.74,18.52,14.81,,
2025,Art and Design (Critical Studies),3680,6-<7,30.0,16.67,26.67,20.0,6.67,,
2025,Art and Design (Critical Studies),3680,7-<8,38.89,44.44,16.67,,,,
2025,Art and Design (Critical Studies),3680,8-<9,50.0,25.0,25.0,,,,
2025,Art and Design (Critical Studies),3680,9>=,66.67,,33.33,,,,
2025,Art and Design (Critical Studies),3680,Unknown prior,,35.29,35.29,23.53,5.88,,
2025,Art and Design (Critical Studies),3680,All,18.12,19.57,32.61,15.94,10.87,2.9,
2025,Art and Design (Fine Art),3690,1-<2,,,,,,100.0,
2025,Art and Design (Fine Art),3690,2-<3,2.38,4.76,7.14,40.48,23.81,11.9,9.52
2025,Art and Design (Fine Art),3690,3-<4,1.52,4.98,18.61,36.36,25.32,10.61,2.6
2025,Art and Design (Fine Art),3690,4-<5,3.06,8.44,28.33,36.72,17.04,5.85,0.57
2025,Art and Design (Fine Art),3690,5-<6,7.74,17.01,38.92,25.73,8.11,2.2,0.29
2025,Art and Design (Fine Art),3690,6-<7,17.6,28.05,36.36,14.72,2.82,0.39,0.06
2025,Art and Design (Fine Art),3690,7-<8,38.35,31.27,23.16,5.97,0.85,0.31,0.09
2025,Art and Design (Fine Art),3690,8-<9,61.72,27.1,9.75,1.25,,0.18,
2025,Art and Design (Fine Art),3690,9>=,71.54,19.23,7.69,1.54,,,
2025,Art and Design (Fine Art),3690,Unknown prior,21.11,23.46,25.81,20.23,5.87,3.52,
2025,Art and Design (Fine Art),3690,All,20.19,21.62,30.03,19.08,6.65,2.12,0.31
2025,History of Art,3830,3-<4,,,22.22,11.11,11.11,33.33,22.22
2025,History of Art,3830,4-<5,1.64,1.64,21.31,39.34,26.23,4.92,4.92
2025,History of Art,3830,5-<6,0.81,12.2,34.15,36.59,12.2,4.07,
2025,History of Art,3830,6-<7,5.15,21.13,41.24,20.1,9.28,3.09,
2025,History of Art,3830,7-<8,9.94,37.57,33.7,14.92,3.31,0.55,
2025,History of Art,3830,8-<9,36.36,44.16,16.23,2.6,0.65,,
2025,History of Art,3830,9>=,48.0,36.0,12.0,4.0,,,
2025,History of Art,3830,Unknown prior,8.0,18.0,36.0,22.0,6.0,10.0,
2025,History of Art,3830,All,12.8,26.47,30.61,19.07,7.53,2.89,0.63
2025,Geography,3910,<1,,100.0,,,,,
2025,Geography,3910,2-<3,,,,9.09,36.36,18.18,36.36
2025,Geography,3910,3-<4,0.34,,4.48,17.24,29.31,28.97,19.66
2025,Geography,3910,4-<5,0.16,1.24,8.19,28.73,36.08,19.73,5.86
2025,Geography,3910,5-<6,0.46,4.38,23.97,39.06,24.52,6.24,1.36
2025,Geography,3910,6-<7,2.25,16.9,41.57,29.58,8.14,1.31,0.26
2025,Geography,3910,7-<8,10.74,38.95,38.06,10.78,1.15,0.25,0.08
2025,Geography,3910,8-<9,36.85,44.3,16.47,2.23,0.07,0.04,0.04
2025,Geography,3910,9>=,55.25,32.04,9.39,1.66,1.1,,0.55
2025,Geography,3910,Unknown prior,6.08,18.48,24.81,25.06,16.71,6.08,2.78
2025,Geography,3910,All,6.61,18.48,29.48,25.67,13.83,4.61,1.33
2025,History,4010,1-<2,,,100.0,,,,
2025,History,4010,2-<3,,13.04,8.7,26.09,17.39,21.74,13.04
2025,History,4010,3-<4,0.18,0.92,5.16,23.39,35.36,27.62,7.37
2025,History,4010,4-<5,0.02,1.38,12.95,36.49,33.76,12.19,3.2
2025,History,4010,5-<6,0.31,4.66,29.07,40.1,20.45,4.38,1.03
2025,History,4010,6-<7,1.73,15.74,45.08,28.8,7.19,1.19,0.26
2025,History,4010,7-<8,8.2,36.32,42.89,11.21,1.12,0.22,0.05
2025,History,4010,8-<9,30.63,46.88,19.98,2.15,0.29,0.04,0.02
2025,History,4010,9>=,48.8,38.96,10.84,0.6,0.6,0.2,
2025,History,4010,Unknown prior,8.65,22.17,32.23,21.86,11.01,3.3,0.79
2025,History,4010,All,6.64,19.55,33.04,25.14,11.62,3.21,0.8
2025,Economics,4410,<1,,,50.0,,,,50.0
2025,Economics,4410,1-<2,,,,,,50.0,50.0
2025,Economics,4410,2-<3,4.76,9.52,9.52,14.29,38.1,14.29,9.52
2025,Economics,4410,3-<4,,0.3,7.1,17.75,23.37,30.18,21.3
2025,Economics,4410,4-<5,0.21,2.21,14.43,27.64,30.44,18.57,6.5
2025,Economics,4410,5-<6,0.51,6.92,27.76,34.92,20.35,7.35,2.2
2025,Economics,4410,6-<7,2.57,19.29,41.26,26.0,8.38,2.05,0.45
2025,Economics,4410,7-<8,10.56,39.34,37.06,10.5,1.98,0.4,0.15
2025,Economics,4410,8-<9,34.88,45.85,16.56,2.38,0.23,0.08,0.02
2025,Economics,4410,9>=,54.68,32.84,9.54,2.2,0.55,0.18,
2025,Economics,4410,Unknown prior,8.58,24.38,28.11,19.46,10.66,5.67,3.13
2025,Economics,4410,All,8.58,22.75,30.6,21.35,10.78,4.42,1.52
2025,Religious Studies,4610,1-<2,,,100.0,,,,
2025,Religious Studies,4610,2-<3,,,,13.33,33.33,46.67,6.67
2025,Religious Studies,4610,3-<4,,0.27,5.42,20.33,31.71,29.27,13.01
2025,Religious Studies,4610,4-<5,0.15,2.36,15.25,31.41,30.71,15.65,4.47
2025,Religious Studies,4610,5-<6,0.81,7.76,29.78,36.45,18.8,4.74,1.67
2025,Religious Studies,4610,6-<7,3.81,19.42,42.72,25.56,6.78,1.5,0.21
2025,Religious Studies,4610,7-<8,10.26,40.61,36.57,10.3,1.89,0.29,0.08
2025,Religious Studies,4610,8-<9,29.16,48.02,20.21,2.01,0.52,,0.07
2025,Religious Studies,4610,9>=,39.24,46.84,13.29,0.63,,,
2025,Religious Studies,4610,Unknown prior,5.78,27.75,26.01,25.43,9.83,4.05,1.16
2025,Religious Studies,4610,All,6.32,20.09,30.52,24.05,12.66,4.83,1.53
2025,Law,4770,2-<3,,,,11.11,,,88.89
2025,Law,4770,3-<4,0.68,0.46,5.02,14.84,24.2,32.88,21.92
2025,Law,4770,4-<5,0.35,2.23,11.37,24.02,29.71,23.88,8.44
2025,Law,4770,5-<6,1.22,7.36,22.21,29.95,24.89,12.24,2.12
2025,Law,4770,6-<7,5.72,18.48,32.7,26.09,12.34,3.83,0.83
2025,Law,4770,7-<8,18.72,34.09,30.25,10.82,4.48,1.42,0.21
2025,Law,4770,8-<9,50.0,34.09,12.34,2.92,0.65,,
2025,Law,4770,9>=,83.33,,16.67,,,,
2025,Law,4770,Unknown prior,5.35,10.16,28.34,20.32,21.93,10.16,3.74
2025,Law,4770,All,5.11,12.28,22.84,24.6,19.96,11.68,3.53
2025,Logic / Philosophy,4790,<1,,,,100.0,,,
2025,Logic / Philosophy,4790,2-<3,,,,37.5,25.0,,37.5
2025,Logic / Philosophy,4790,3-<4,,,5.08,10.17,22.03,33.9,28.81
2025,Logic / Philosophy,4790,4-<5,,0.88,6.47,21.47,31.18,28.24,11.76
2025,Logic / Philosophy,4790,5-<6,0.49,3.31,19.0,32.84,28.68,13.36,2.33
2025,Logic / Philosophy,4790,6-<7,1.23,11.64,37.28,32.28,15.02,2.15,0.41
2025,Logic / Philosophy,4790,7-<8,4.81,31.64,43.47,15.54,3.44,0.83,0.28
2025,Logic / Philosophy,4790,8-<9,22.03,46.7,24.67,5.84,0.75,,
2025,Logic / Philosophy,4790,9>=,44.0,30.0,24.0,2.0,,,
2025,Logic / Philosophy,4790,Unknown prior,10.0,26.67,18.33,25.0,16.67,3.33,
2025,Logic / Philosophy,4790,All,5.49,18.29,28.42,23.16,15.15,7.11,2.38
2025,Government and Politics,4830,<1,,100.0,,,,,
2025,Government and Politics,4830,1-<2,,,,,50.0,,50.0
2025,Government and Politics,4830,2-<3,12.5,,6.25,18.75,25.0,18.75,18.75
2025,Government and Politics,4830,3-<4,0.46,1.62,7.62,18.24,30.48,23.56,18.01
2025,Government and Politics,4830,4-<5,0.58,4.06,16.26,32.4,26.86,13.65,6.19
2025,Government and Politics,4830,5-<6,1.48,8.96,30.08,33.68,18.83,5.42,1.54
2025,Government and Politics,4830,6-<7,5.21,21.79,39.94,23.66,7.6,1.36,0.44
2025,Government and Politics,4830,7-<8,15.29,37.26,35.63,9.62,1.76,0.35,0.08
2025,Government and Politics,4830,8-<9,37.28,41.81,18.07,2.16,0.51,0.1,0.05
2025,Government and Politics,4830,9>=,56.11,32.13,9.5,0.45,0.9,0.45,0.45
2025,Government and Politics,4830,Unknown prior,8.92,22.2,26.09,24.26,10.98,4.81,2.75
2025,Government and Politics,4830,All,9.1,20.44,29.8,22.47,11.96,4.37,1.86
2025,Psychology,4850,<1,,100.0,,,,,
2025,Psychology,4850,2-<3,,2.17,2.17,4.35,10.87,43.48,36.96
2025,Psychology,4850,3-<4,,0.5,3.79,10.68,22.36,34.73,27.94
2025,Psychology,4850,4-<5,0.08,0.87,7.23,22.9,31.21,26.64,11.08
2025,Psychology,4850,5-<6,0.43,3.65,20.99,35.14,26.28,11.13,2.39
2025,Psychology,4850,6-<7,2.62,14.35,40.12,29.53,10.54,2.4,0.44
2025,Psychology,4850,7-<8,13.49,34.11,39.12,10.97,2.01,0.27,0.04
2025,Psychology,4850,8-<9,43.52,37.72,16.57,1.89,0.24,0.07,
2025,Psychology,4850,9>=,58.94,25.6,10.63,1.45,2.9,0.48,
2025,Psychology,4850,Unknown prior,6.89,13.99,28.48,23.6,13.56,9.25,4.23
2025,Psychology,4850,All,6.1,13.93,27.81,25.23,16.07,8.15,2.72
2025,Sociology,4890,2-<3,,2.44,1.22,14.63,26.83,21.95,32.93
2025,Sociology,4890,3-<4,0.21,1.16,7.83,22.71,33.12,23.76,11.2
2025,Sociology,4890,4-<5,0.45,2.79,17.94,35.47,28.37,11.56,3.43
2025,Sociology,4890,5-<6,1.93,9.95,34.44,34.93,14.65,3.23,0.88
2025,Sociology,4890,6-<7,8.08,24.43,42.06,20.41,4.17,0.69,0.17
2025,Sociology,4890,7-<8,23.23,39.37,30.19,6.26,0.75,0.14,0.06
2025,Sociology,4890,8-<9,49.8,35.74,13.52,0.94,,,
2025,Sociology,4890,9>=,54.55,36.36,9.09,,,,
2025,Sociology,4890,Unknown prior,5.27,13.56,27.31,29.57,15.63,5.46,3.2
2025,Sociology,4890,All,5.58,13.99,29.88,28.08,15.18,5.44,1.85
2025,English Language and Literature,5010,2-<3,,,,60.0,,40.0,
2025,English Language and Literature,5010,3-<4,0.42,0.42,6.28,25.52,45.61,18.83,2.93
2025,English Language and Literature,5010,4-<5,0.08,1.51,11.55,44.18,32.89,8.62,1.17
2025,English Language and Literature,5010,5-<6,0.38,4.03,31.5,43.49,17.95,2.18,0.47
2025,English Language and Literature,5010,6-<7,2.71,14.44,46.79,30.17,4.89,0.82,0.18
2025,English Language and Literature,5010,7-<8,12.79,31.09,45.98,9.48,0.33,0.33,
2025,English Language and Literature,5010,8-<9,34.87,42.91,20.31,1.15,0.38,,0.38
2025,English Language and Literature,5010,9>=,33.33,44.44,22.22,,,,
2025,English Language and Literature,5010,Unknown prior,7.84,20.59,30.39,14.71,15.69,8.82,1.96
2025,English Language and Literature,5010,All,4.2,11.77,32.41,32.58,15.08,3.4,0.57
2025,English Language,5030,<1,,,100.0,,,,
2025,English Language,5030,1-<2,,,100.0,,,,
2025,English Language,5030,2-<3,,,,26.67,33.33,26.67,13.33
2025,English Language,5030,3-<4,,0.24,5.46,19.24,48.22,23.52,3.33
2025,English Language,5030,4-<5,0.04,0.85,12.21,40.88,35.73,8.85,1.45
2025,English Language,5030,5-<6,0.49,3.79,29.35,45.62,17.9,2.39,0.46
2025,English Language,5030,6-<7,1.72,14.07,47.42,31.01,5.33,0.35,0.1
2025,English Language,5030,7-<8,8.76,30.72,48.44,11.21,0.6,0.2,0.07
2025,English Language,5030,8-<9,23.5,47.86,25.64,2.78,,0.21,
2025,English Language,5030,9>=,23.08,46.15,23.08,7.69,,,
2025,English Language,5030,Unknown prior,2.37,8.88,26.04,31.36,23.08,5.92,2.37
2025,English Language,5030,All,2.66,10.88,32.01,33.86,16.39,3.56,0.63
2025,English Literature,5110,2-<3,,4.0,8.0,20.0,40.0,20.0,8.0
2025,English Literature,5110,3-<4,,0.17,5.15,17.15,40.31,31.73,5.49
2025,English Literature,5110,4-<5,0.28,1.05,10.48,35.03,36.28,14.56,2.33
2025,English Literature,5110,5-<6,0.69,4.2,25.85,40.84,23.38,4.49,0.55
2025,English Literature,5110,6-<7,4.03,15.16,41.94,30.12,7.59,0.96,0.21
2025,English Literature,5110,7-<8,14.73,30.21,41.7,11.74,1.48,0.13,0.01
2025,English Literature,5110,8-<9,40.86,35.42,21.07,2.33,0.33,,
2025,English Literature,5110,9>=,63.36,28.26,7.73,0.66,,,
2025,English Literature,5110,Unknown prior,11.22,16.16,32.99,21.26,11.56,5.61,1.19
2025,English Literature,5110,All,10.0,16.04,30.49,25.72,13.38,3.77,0.59
2025,Drama and Theatre Studies,5210,2-<3,,,,30.77,38.46,23.08,7.69
2025,Drama and Theatre Studies,5210,3-<4,,1.24,7.85,35.95,36.36,13.22,5.37
2025,Drama and Theatre Studies,5210,4-<5,0.2,2.02,23.38,44.53,23.99,4.76,1.11
2025,Drama and Theatre Studies,5210,5-<6,0.77,6.39,40.47,40.78,10.04,1.13,0.41
2025,Drama and Theatre Studies,5210,6-<7,3.57,18.45,51.58,22.64,3.26,0.47,0.05
2025,Drama and Theatre Studies,5210,7-<8,10.67,32.75,45.54,10.36,0.61,0.08,
2025,Drama and Theatre Studies,5210,8-<9,28.53,41.79,27.09,2.45,0.14,,
2025,Drama and Theatre Studies,5210,9>=,55.88,35.29,7.35,1.47,,,
2025,Drama and Theatre Studies,5210,Unknown prior,6.79,15.43,36.42,26.54,11.73,2.47,0.62
2025,Drama and Theatre Studies,5210,All,6.43,17.32,39.21,26.6,8.36,1.6,0.48
2025,Media/Film/Tv Studies,5350,<1,,,100.0,,,,
2025,Media/Film/Tv Studies,5350,1-<2,,,,,,,100.0
2025,Media/Film/Tv Studies,5350,2-<3,,,2.7,24.32,27.03,29.73,16.22
2025,Media/Film/Tv Studies,5350,3-<4,,0.19,5.96,28.65,42.12,19.52,3.56
2025,Media/Film/Tv Studies,5350,4-<5,0.08,1.85,18.82,42.37,29.49,6.73,0.66
2025,Media/Film/Tv Studies,5350,5-<6,0.33,7.58,38.13,39.37,12.09,2.08,0.42
2025,Media/Film/Tv Studies,5350,6-<7,2.76,23.83,49.71,20.17,3.16,0.29,0.07
2025,Media/Film/Tv Studies,5350,7-<8,13.77,46.82,34.19,4.84,0.38,,
2025,Media/Film/Tv Studies,5350,8-<9,37.24,46.43,16.33,,,,
2025,Media/Film/Tv Studies,5350,9>=,100.0,,,,,,
2025,Media/Film/Tv Studies,5350,Unknown prior,,10.75,37.63,26.88,17.2,4.3,3.23
2025,Media/Film/Tv Studies,5350,All,2.26,12.15,31.93,32.26,16.47,4.23,0.7
2025,Film Studies,5360,<1,,,100.0,,,,
2025,Film Studies,5360,1-<2,,50.0,,50.0,,,
2025,Film Studies,5360,2-<3,,4.35,4.35,21.74,17.39,39.13,13.04
2025,Film Studies,5360,3-<4,,0.47,16.28,43.95,30.47,6.51,2.33
2025,Film Studies,5360,4-<5,0.06,2.49,28.82,49.33,15.24,3.1,0.94
2025,Film Studies,5360,5-<6,0.82,8.06,51.39,33.93,5.16,0.3,0.35
2025,Film Studies,5360,6-<7,3.54,24.62,56.06,14.27,1.2,0.13,0.19
2025,Film Studies,5360,7-<8,13.02,41.47,40.72,3.89,0.6,0.15,0.15
2025,Film Studies,5360,8-<9,32.54,43.79,22.49,0.59,,0.59,
2025,Film Studies,5360,9>=,100.0,,,,,,
2025,Film Studies,5360,Unknown prior,4.55,17.42,43.18,24.24,6.06,3.79,0.76
2025,Film Studies,5360,All,3.17,14.02,42.58,30.23,7.86,1.53,0.6
2025,French,5650,2-<3,,,33.33,,33.33,,33.33
2025,French,5650,3-<4,,3.57,28.57,17.86,25.0,17.86,7.14
2025,French,5650,4-<5,2.0,2.4,14.4,25.2,27.2,20.8,8.0
2025,French,5650,5-<6,0.64,8.56,22.22,28.99,25.93,10.86,2.81
2025,French,5650,6-<7,2.33,15.64,31.48,28.6,16.32,4.66,0.96
2025,French,5650,7-<8,5.88,33.9,36.81,18.07,4.61,0.67,0.06
2025,French,5650,8-<9,28.93,44.93,20.81,4.68,0.65,,
2025,French,5650,9>=,53.78,36.89,8.0,0.89,0.44,,
2025,French,5650,Unknown prior,14.21,36.55,23.35,13.71,8.12,2.03,2.03
2025,French,5650,All,12.39,28.25,27.07,17.8,9.89,3.58,1.02
2025,German,5670,3-<4,9.09,27.27,,9.09,18.18,36.36,
2025,German,5670,4-<5,2.33,10.47,18.6,20.93,27.91,13.95,5.81
2025,German,5670,5-<6,1.04,7.81,20.31,29.17,24.48,16.67,0.52
2025,German,5670,6-<7,4.58,19.04,28.67,28.67,13.49,5.3,0.24
2025,German,5670,7-<8,8.88,31.85,37.84,17.76,3.09,0.58,
2025,German,5670,8-<9,30.07,46.41,18.63,4.58,0.33,,
2025,German,5670,9>=,53.26,41.3,5.43,,,,
2025,German,5670,Unknown prior,35.0,34.0,23.0,8.0,,,
2025,German,5670,All,16.68,30.95,25.27,15.89,7.26,3.6,0.35
2025,Italian,5690,1-<2,,,100.0,,,,
2025,Italian,5690,2-<3,,,100.0,,,,
2025,Italian,5690,3-<4,13.64,54.55,9.09,18.18,4.55,,
2025,Italian,5690,4-<5,10.94,40.62,40.62,4.69,1.56,1.56,
2025,Italian,5690,5-<6,19.82,49.55,23.42,5.41,1.8,,
2025,Italian,5690,6-<7,41.94,44.35,11.29,,1.61,0.81,
2025,Italian,5690,7-<8,57.3,37.08,5.62,,,,
2025,Italian,5690,8-<9,73.44,23.44,3.12,,,,
2025,Italian,5690,9>=,76.47,23.53,,,,,
2025,Italian,5690,Unknown prior,40.0,42.86,17.14,,,,
2025,Italian,5690,All,39.51,40.64,15.88,2.46,1.13,0.38,
2025,Modern Greek,5710,2-<3,,,,100.0,,,
2025,Modern Greek,5710,3-<4,,50.0,,,50.0,,
2025,Modern Greek,5710,4-<5,,,50.0,37.5,,,12.5
2025,Modern Greek,5710,5-<6,,38.46,46.15,7.69,7.69,,
2025,Modern Greek,5710,6-<7,18.18,18.18,27.27,27.27,9.09,,
2025,Modern Greek,5710,7-<8,27.78,44.44,22.22,,5.56,,
2025,Modern Greek,5710,8-<9,58.33,16.67,8.33,16.67,,,
2025,Modern Greek,5710,9>=,100.0,,,,,,
2025,Modern Greek,5710,Unknown prior,,40.0,,40.0,,20.0,
2025,Modern Greek,5710,All,21.13,28.17,25.35,16.9,5.63,1.41,1.41
2025,Portuguese,5730,2-<3,,20.0,,80.0,,,
2025,Portuguese,5730,3-<4,,22.22,22.22,11.11,,22.22,22.22
2025,Portuguese,5730,4-<5,,18.37,22.45,40.82,8.16,6.12,4.08
2025,Portuguese,5730,5-<6,,28.36,38.81,17.91,8.96,2.99,2.99
2025,Portuguese,5730,6-<7,5.13,41.03,30.77,20.51,,2.56,
2025,Portuguese,5730,7-<8,31.82,31.82,22.73,13.64,,,
2025,Portuguese,5730,8-<9,57.14,42.86,,,,,
2025,Portuguese,5730,Unknown prior,11.11,16.67,33.33,22.22,11.11,,5.56
2025,Portuguese,5730,All,6.94,27.78,28.7,24.07,5.56,3.7,3.24
2025,Spanish,5750,<1,,,100.0,,,,
2025,Spanish,5750,2-<3,,18.75,31.25,43.75,,6.25,
2025,Spanish,5750,3-<4,1.41,11.27,26.76,32.39,15.49,9.86,2.82
2025,Spanish,5750,4-<5,1.51,11.18,24.73,23.23,21.51,12.26,5.59
2025,Spanish,5750,5-<6,2.03,11.36,27.69,26.71,20.99,8.65,2.56
2025,Spanish,5750,6-<7,3.2,17.99,32.98,30.57,11.64,3.25,0.37
2025,Spanish,5750,7-<8,8.58,31.05,40.12,15.77,3.93,0.44,0.11
2025,Spanish,5750,8-<9,28.04,45.66,22.73,3.24,0.26,0.06,
2025,Spanish,5750,9>=,53.85,35.1,10.58,0.48,,,
2025,Spanish,5750,Unknown prior,20.18,30.49,26.91,12.56,6.73,1.79,1.35
2025,Spanish,5750,All,11.11,25.94,30.31,19.02,9.27,3.37,0.98
2025,Arabic,5910,<1,,,100.0,,,,
2025,Arabic,5910,1-<2,,50.0,50.0,,,,
2025,Arabic,5910,2-<3,12.5,,,,37.5,,50.0
2025,Arabic,5910,3-<4,3.45,10.34,20.69,17.24,13.79,13.79,20.69
2025,Arabic,5910,4-<5,17.0,24.0,15.0,11.0,18.0,6.0,9.0
2025,Arabic,5910,5-<6,20.83,30.0,17.5,14.17,11.67,3.33,2.5
2025,Arabic,5910,6-<7,28.89,24.44,27.78,10.0,5.56,2.22,1.11
2025,Arabic,5910,7-<8,43.75,26.56,20.31,4.69,3.12,,1.56
2025,Arabic,5910,8-<9,70.37,22.22,,3.7,3.7,,
2025,Arabic,5910,9>=,100.0,,,,,,
2025,Arabic,5910,Unknown prior,32.0,28.0,28.0,8.0,,,4.0
2025,Arabic,5910,All,27.14,24.79,19.02,10.26,10.04,3.42,5.34
2025,Chinese,5950,<1,,33.33,33.33,,33.33,,
2025,Chinese,5950,2-<3,27.27,27.27,36.36,9.09,,,
2025,Chinese,5950,3-<4,22.58,29.03,35.48,12.9,,,
2025,Chinese,5950,4-<5,17.86,36.9,25.0,11.9,2.38,4.76,1.19
2025,Chinese,5950,5-<6,27.22,44.97,21.89,2.96,1.78,,1.18
2025,Chinese,5950,6-<7,31.14,38.32,22.16,5.39,2.99,,
2025,Chinese,5950,7-<8,37.24,33.79,17.24,9.66,2.07,,
2025,Chinese,5950,8-<9,44.36,35.34,18.05,1.5,0.75,,
2025,Chinese,5950,9>=,52.94,44.12,2.94,,,,
2025,Chinese,5950,Unknown prior,46.6,33.4,16.6,1.91,0.64,0.43,0.43
2025,Chinese,5950,All,37.93,36.25,19.17,4.33,1.44,0.48,0.4
2025,Japanese,6010,3-<4,,,66.67,33.33,,,
2025,Japanese,6010,4-<5,12.5,25.0,50.0,,,12.5,
2025,Japanese,6010,5-<6,15.38,61.54,15.38,,,7.69,
2025,Japanese,6010,6-<7,61.29,22.58,9.68,3.23,3.23,,
2025,Japanese,6010,7-<8,62.5,31.25,3.12,3.12,,,
2025,Japanese,6010,8-<9,64.52,25.81,9.68,,,,
2025,Japanese,6010,9>=,100.0,,,,,,
2025,Japanese,6010,Unknown prior,57.69,26.92,15.38,,,,
2025,Japanese,6010,All,54.42,28.57,12.93,2.04,0.68,1.36,
2025,Modern Hebrew,6030,4-<5,20.0,40.0,,20.0,20.0,,
2025,Modern Hebrew,6030,5-<6,23.08,53.85,15.38,7.69,,,
2025,Modern Hebrew,6030,6-<7,54.55,27.27,9.09,9.09,,,
2025,Modern Hebrew,6030,7-<8,88.89,,11.11,,,,
2025,Modern Hebrew,6030,8-<9,75.0,25.0,,,,,
2025,Modern Hebrew,6030,9>=,100.0,,,,,,
2025,Modern Hebrew,6030,Unknown prior,100.0,,,,,,
2025,Modern Hebrew,6030,All,54.35,28.26,8.7,6.52,2.17,,
2025,Punjabi,6050,3-<4,33.33,33.33,,,,,33.33
2025,Punjabi,6050,4-<5,52.63,15.79,21.05,10.53,,,
2025,Punjabi,6050,5-<6,50.0,26.67,6.67,10.0,6.67,,
2025,Punjabi,6050,6-<7,73.08,11.54,15.38,,,,
2025,Punjabi,6050,7-<8,71.43,14.29,7.14,7.14,,,
2025,Punjabi,6050,8-<9,100.0,,,,,,
2025,Punjabi,6050,Unknown prior,100.0,,,,,,
2025,Punjabi,6050,All,62.14,17.48,10.68,5.83,1.94,,1.94
2025,Polish,6070,2-<3,,,,,66.67,33.33,
2025,Polish,6070,3-<4,,,46.15,,38.46,7.69,7.69
2025,Polish,6070,4-<5,1.19,22.62,28.57,29.76,15.48,,2.38
2025,Polish,6070,5-<6,2.15,44.62,30.11,13.98,5.91,2.15,1.08
2025,Polish,6070,6-<7,8.33,53.07,25.88,9.65,2.63,0.44,
2025,Polish,6070,7-<8,20.47,66.14,11.02,2.36,,,
2025,Polish,6070,8-<9,50.0,46.15,3.85,,,,
2025,Polish,6070,9>=,66.67,,,,,,33.33
2025,Polish,6070,Unknown prior,60.0,33.33,6.67,,,,
2025,Polish,6070,All,12.24,47.26,22.78,10.69,5.2,0.98,0.84
2025,Russian,6090,1-<2,33.33,33.33,33.33,,,,
2025,Russian,6090,2-<3,66.67,22.22,,11.11,,,
2025,Russian,6090,3-<4,62.07,17.24,10.34,6.9,3.45,,
2025,Russian,6090,4-<5,64.38,28.77,4.11,1.37,1.37,,
2025,Russian,6090,5-<6,83.9,9.32,5.08,1.69,,,
2025,Russian,6090,6-<7,78.41,14.77,5.11,0.57,,0.57,0.57
2025,Russian,6090,7-<8,88.89,8.89,2.22,,,,
2025,Russian,6090,8-<9,96.18,3.05,0.76,,,,
2025,Russian,6090,9>=,100.0,,,,,,
2025,Russian,6090,Unknown prior,90.1,9.41,0.5,,,,
2025,Russian,6090,All,84.62,11.17,2.99,0.77,0.22,0.11,0.11
2025,Turkish,6110,1-<2,50.0,,,,50.0,,
2025,Turkish,6110,2-<3,,25.0,25.0,25.0,,25.0,
2025,Turkish,6110,3-<4,,17.86,28.57,14.29,17.86,10.71,10.71
2025,Turkish,6110,4-<5,7.29,20.83,30.21,26.04,8.33,6.25,1.04
2025,Turkish,6110,5-<6,15.18,25.89,36.61,16.96,4.46,0.89,
2025,Turkish,6110,6-<7,40.24,32.93,24.39,2.44,,,
2025,Turkish,6110,7-<8,56.82,36.36,4.55,2.27,,,
2025,Turkish,6110,8-<9,69.23,15.38,15.38,,,,
2025,Turkish,6110,Unknown prior,48.28,27.59,20.69,,,,3.45
2025,Turkish,6110,All,25.85,26.34,26.59,12.68,4.63,2.68,1.22
2025,Urdu,6130,1-<2,100.0,,,,,,
2025,Urdu,6130,2-<3,50.0,,50.0,,,,
2025,Urdu,6130,3-<4,37.5,37.5,12.5,12.5,,,
2025,Urdu,6130,4-<5,25.81,48.39,19.35,6.45,,,
2025,Urdu,6130,5-<6,49.06,30.19,13.21,,5.66,1.89,
2025,Urdu,6130,6-<7,62.16,21.62,13.51,,,,2.7
2025,Urdu,6130,7-<8,53.12,43.75,,3.12,,,
2025,Urdu,6130,8-<9,90.91,9.09,,,,,
2025,Urdu,6130,Unknown prior,69.23,23.08,,,7.69,,
2025,Urdu,6130,All,52.13,31.91,10.64,2.13,2.13,0.53,0.53
2025,Persian,6150,3-<4,40.0,10.0,,20.0,20.0,,10.0
2025,Persian,6150,4-<5,29.41,47.06,11.76,5.88,,,5.88
2025,Persian,6150,5-<6,47.37,31.58,10.53,10.53,,,
2025,Persian,6150,6-<7,15.38,69.23,,15.38,,,
2025,Persian,6150,7-<8,55.56,33.33,11.11,,,,
2025,Persian,6150,8-<9,50.0,50.0,,,,,
2025,Persian,6150,9>=,,100.0,,,,,
2025,Persian,6150,Unknown prior,58.62,31.03,6.9,3.45,,,
2025,Persian,6150,All,43.27,38.46,6.73,7.69,1.92,,1.92
2025,Ancient History,6510,2-<3,,,,,100.0,,
2025,Ancient History,6510,3-<4,,,,25.0,35.0,35.0,5.0
2025,Ancient History,6510,4-<5,,3.01,17.29,37.59,31.58,9.02,1.5
2025,Ancient History,6510,5-<6,,1.99,40.24,30.28,20.72,4.78,1.99
2025,Ancient History,6510,6-<7,0.74,17.34,43.91,28.78,6.64,1.85,0.74
